threads;execution time, s
861;0,210412
862;0,202358
863;0,202971
864;0,212227
865;0,204021
866;0,213681
867;0,199045
868;0,201734
869;0,191709
870;0,193138
871;0,191569
872;0,201084
873;0,194310
874;0,197612
875;0,197458
876;0,198792
877;0,205039
878;0,203685
879;0,191774
880;0,196904
881;0,195740
882;0,196650
883;0,191813
884;0,196613
885;0,193083
886;0,192621
887;0,188649
888;0,197447
889;0,191796
890;0,195595
891;0,199202
892;0,192177
893;0,202792
894;0,191011
895;0,193924
896;0,189361
897;0,192886
898;0,188850
899;0,189148
900;0,185876
901;0,186749
902;0,186586
903;0,185758
904;0,189599
905;0,185586
906;0,188644
907;0,185276
908;0,184458
909;0,186142
910;0,185285
911;0,186789
912;0,189838
913;0,184471
914;0,185067
915;0,186618
916;0,186313
917;0,190919
918;0,185419
919;0,188612
920;0,186223
921;0,184920
922;0,187368
923;0,186033
924;0,187500
925;0,186074
926;0,185252
927;0,185333
928;0,184853
929;0,184900
930;0,191490
931;0,198486
932;0,189170
933;0,196468
934;0,185171
935;0,188106
936;0,190421
937;0,249205
938;0,202280
939;0,227899
940;0,200271
941;0,225780
942;0,206496
943;0,199202
944;0,206066
945;0,200715
946;0,197816
947;0,187630
948;0,197060
949;0,193513
950;0,187951
951;0,186081
952;0,185735
953;0,186376
954;0,184886
955;0,187050
956;0,186238
957;0,189102
958;0,187088
959;0,186627
960;0,183613
961;0,186732
962;0,186256
963;0,187844
964;0,185235
965;0,184330
966;0,186693
967;0,186108
968;0,191356
969;0,192241
970;0,199073
971;0,186724
972;0,189156
973;0,185467
974;0,186174
975;0,187631
976;0,187768
977;0,187201
978;0,185159
979;0,185931
980;0,184820
981;0,217413
982;0,198424
983;0,193703
984;0,192585
985;0,190833
986;0,186481
987;0,185825
988;0,186388
989;0,188901
990;0,184538
991;0,186175
992;0,188136
993;0,187138
994;0,186602
995;0,187209
996;0,186216
997;0,185813
998;0,184482
999;0,185367
1000;0,191056
1001;0,182367
1101;0,173301
1201;0,179279
1301;0,173467
1401;0,218692
1501;0,184309
1601;0,181329
1701;0,183844
1801;0,181234
1901;0,180572
2001;0,192721
2101;0,190675
2201;0,189258
2301;0,181145
2401;0,195680
2501;0,186193
2601;0,197833
2701;0,196053
2801;0,195791
2901;0,214676
3001;0,215558
